№,City,Status,fillColor,,,,зеленый,#4CAF50
20,Махачкала,зеленый,#4CAF50,,,,желтый,#FFC107
24,Ульяновск,зеленый,#4CAF50,,,,красный,#F44336
27,Ярославль,зеленый,#4CAF50,,,,,
32,Набережные Челны,зеленый,#4CAF50,,,,,
35,Балашиха,зеленый,#4CAF50,,,,,
37,Чебоксары,зеленый,#4CAF50,,,,,
42,Астрахань,зеленый,#4CAF50,,,,,
47,Сургут,зеленый,#4CAF50,,,,,
51,Якутск,зеленый,#4CAF50,,,,,
55,Грозный,зеленый,#4CAF50,,,,,
57,Нижний Тагил,зеленый,#4CAF50,,,,,
60,Волжский,зеленый,#4CAF50,,,,,
61,Подольск,зеленый,#4CAF50,,,,,
66,Череповец,зеленый,#4CAF50,,,,,
70,Нижневартовск,зеленый,#4CAF50,,,,,
74,Мурманск,зеленый,#4CAF50,,,,,
77,Химки,зеленый,#4CAF50,,,,,
79,Нальчик,зеленый,#4CAF50,,,,,
81,Нижнекамск,зеленый,#4CAF50,,,,,
83,Люберцы,зеленый,#4CAF50,,,,,
84,Петрозаводск,зеленый,#4CAF50,,,,,
85,Комсомольск-на-Амуре,зеленый,#4CAF50,,,,,
86,Королёв,зеленый,#4CAF50,,,,,
87,Энгельс,зеленый,#4CAF50,,,,,
88,Великий Новгород,зеленый,#4CAF50,,,,,
89,Шахты,зеленый,#4CAF50,,,,,
90,Братск,зеленый,#4CAF50,,,,,
92,Ангарск,зеленый,#4CAF50,,,,,
93,Старый Оскол,зеленый,#4CAF50,,,,,
94,Дзержинск,зеленый,#4CAF50,,,,,
95,Красногорск,зеленый,#4CAF50,,,,,
97,Одинцово,зеленый,#4CAF50,,,,,
101,Балаково,зеленый,#4CAF50,,,,,
105,Норильск,зеленый,#4CAF50,,,,,
106,Прокопьевск,зеленый,#4CAF50,,,,,
107,Рыбинск,зеленый,#4CAF50,,,,,
108,Волгодонск,зеленый,#4CAF50,,,,,
109,Альметьевск,зеленый,#4CAF50,,,,,
111,Сызрань,зеленый,#4CAF50,,,,,
112,Каменск-Уральский,зеленый,#4CAF50,,,,,
113,Новочеркасск,зеленый,#4CAF50,,,,,
114,Хасавюрт,зеленый,#4CAF50,,,,,
115,Златоуст,зеленый,#4CAF50,,,,,
116,Домодедово,зеленый,#4CAF50,,,,,
117,Северодвинск,зеленый,#4CAF50,,,,,
118,Керчь,зеленый,#4CAF50,,,,,
119,Миасс,зеленый,#4CAF50,,,,,
120,Салават,зеленый,#4CAF50,,,,,
121,Копейск,зеленый,#4CAF50,,,,,
123,Электросталь,зеленый,#4CAF50,,,,,
124,Майкоп,зеленый,#4CAF50,,,,,
125,Щёлково,зеленый,#4CAF50,,,,,
126,Находка,зеленый,#4CAF50,,,,,
127,Березники,зеленый,#4CAF50,,,,,
128,Нефтекамск,зеленый,#4CAF50,,,,,
129,Серпухов,зеленый,#4CAF50,,,,,
130,Обнинск,зеленый,#4CAF50,,,,,
132,Кызыл,зеленый,#4CAF50,,,,,
133,Каспийск,зеленый,#4CAF50,,,,,
134,Ковров,зеленый,#4CAF50,,,,,
135,Дербент,зеленый,#4CAF50,,,,,
136,Нефтеюганск,зеленый,#4CAF50,,,,,
137,Кисловодск,зеленый,#4CAF50,,,,,
138,Назрань,зеленый,#4CAF50,,,,,
139,Батайск,зеленый,#4CAF50,,,,,
140,Рубцовск,зеленый,#4CAF50,,,,,
142,Новочебоксарск,зеленый,#4CAF50,,,,,
143,Долгопрудный,зеленый,#4CAF50,,,,,
144,Новомосковск,зеленый,#4CAF50,,,,,
145,Октябрьский,зеленый,#4CAF50,,,,,
147,Раменское,зеленый,#4CAF50,,,,,
148,Черкесск,зеленый,#4CAF50,,,,,
149,Мурино,зеленый,#4CAF50,,,,,
150,Михайловск,зеленый,#4CAF50,,,,,
151,Реутов,зеленый,#4CAF50,,,,,
153,Первоуральск,зеленый,#4CAF50,,,,,
154,Пушкино,зеленый,#4CAF50,,,,,
155,Жуковский,зеленый,#4CAF50,,,,,
156,Димитровград,зеленый,#4CAF50,,,,,
157,Артём,зеленый,#4CAF50,,,,,
160,Видное,зеленый,#4CAF50,,,,,
161,Северск,зеленый,#4CAF50,,,,,
163,Муром,зеленый,#4CAF50,,,,,
164,Орехово-Зуево,зеленый,#4CAF50,,,,,
165,Арзамас,зеленый,#4CAF50,,,,,
166,Элиста,зеленый,#4CAF50,,,,,
167,Ноябрьск,зеленый,#4CAF50,,,,,
168,Бердск,зеленый,#4CAF50,,,,,
169,Ногинск,зеленый,#4CAF50,,,,,
171,Ялта,зеленый,#4CAF50,,,,,
173,Дмитров,зеленый,#4CAF50,,,,,
176,Абхазия,зеленый,#4CAF50,,,,,
177,Лабинск,зеленый,#4CAF50,,,,,
180,Херсон,зеленый,#4CAF50,,,,,
181,Запорожье,зеленый,#4CAF50,,,,,
175,Беларусь,зеленый,#4CAF50,,,,,
65,Курган,зеленый,#4CAF50,,,,,
174,Казахстан,зеленый,#4CAF50,,,,,
19,Тольятти,желтый,#FFC107,,,,,
73,Мытищи,желтый,#FFC107,,,,,
91,Сыктывкар,желтый,#FFC107,,,,,
62,Вологда,желтый,#FFC107,,,,,
45,Курск,желтый,#FFC107,,,,,
53,Владимир,желтый,#FFC107,,,,,
16,Волгоград,желтый,#FFC107,,,,,
36,Рязань,желтый,#FFC107,,,,,
41,Киров,желтый,#FFC107,,,,,
40,Липецк,желтый,#FFC107,,,,,
23,Хабаровск,желтый,#FFC107,,,,,
71,Йошкар-Ола,желтый,#FFC107,,,,,
104,Уссурийск,желтый,#FFC107,,,,,
34,Новокузнецк,желтый,#FFC107,,,,,
52,Иваново,желтый,#FFC107,,,,,
13,Омск,желтый,#FFC107,,,,,
69,Орёл,желтый,#FFC107,,,,,
64,Смоленск,желтый,#FFC107,,,,,
2,Санкт-Петербург,желтый,#FFC107,,,,,
18,Тюмень,желтый,#FFC107,,,,,
49,Магнитогорск,желтый,#FFC107,,,,,
59,Белгород,желтый,#FFC107,,,,,
43,Тула,желтый,#FFC107,,,,,
7,Нижний Новгород,желтый,#FFC107,,,,,
75,Кострома,желтый,#FFC107,,,,,
4,Екатеринбург,желтый,#FFC107,,,,,
178,Донецк,желтый,#FFC107,,,,,
182,Мелитополь,желтый,#FFC107,,,,,
17,Саратов,желтый,#FFC107,,,,,
9,Уфа,желтый,#FFC107,,,,,
170,Новошахтинск,желтый,#FFC107,,,,,
50,Брянск,желтый,#FFC107,,,,,
159,Евпатория,желтый,#FFC107,,,,,
10,Самара,желтый,#FFC107,,,,,
38,Калининград,желтый,#FFC107,,,,,
29,Ставрополь,желтый,#FFC107,,,,,
68,Владикавказ,желтый,#FFC107,,,,,
11,Ростов-на-Дону,желтый,#FFC107,,,,,
58,Калуга,желтый,#FFC107,,,,,
102,Бийск,желтый,#FFC107,,,,,
5,Казань,желтый,#FFC107,,,,,
56,Чита,желтый,#FFC107,,,,,
14,Воронеж,желтый,#FFC107,,,,,
76,Новороссийск,желтый,#FFC107,,,,,
39,Пенза,желтый,#FFC107,,,,,
98,Псков,желтый,#FFC107,,,,,
1,Москва,желтый,#FFC107,,,,,
67,Архангельск,желтый,#FFC107,,,,,
46,Улан-Удэ,желтый,#FFC107,,,,,
30,Томск,желтый,#FFC107,,,,,
22,Ижевск,желтый,#FFC107,,,,,
162,Камышин,желтый,#FFC107,,,,,
146,Невинномысск,желтый,#FFC107,,,,,
63,Саранск,желтый,#FFC107,,,,,
33,Оренбург,желтый,#FFC107,,,,,
15,Пермь,желтый,#FFC107,,,,,
44,Сочи,желтый,#FFC107,,,,,
48,Тверь,желтый,#FFC107,,,,,
158,Новый Уренгой,желтый,#FFC107,,,,,
31,Кемерово,желтый,#FFC107,,,,,
72,Стерлитамак,желтый,#FFC107,,,,,
6,Красноярск,желтый,#FFC107,,,,,
100,Армавир,желтый,#FFC107,,,,,
26,Владивосток,желтый,#FFC107,,,,,
172,Феодосия,желтый,#FFC107,,,,,
82,Благовещенск,желтый,#FFC107,,,,,
122,Пятигорск,желтый,#FFC107,,,,,
21,Барнаул,желтый,#FFC107,,,,,
8,Челябинск,желтый,#FFC107,,,,,
131,Коломна,желтый,#FFC107,,,,,
78,Тамбов,желтый,#FFC107,,,,,
80,Таганрог,желтый,#FFC107,,,,,
3,Новосибирск,красный,#F44336,,,,,
152,Ханты-Мансийск,красный,#F44336,,,,,
103,Южно-Сахалинск,красный,#F44336,,,,,
110,Петропавловск-Камчатский,красный,#F44336,,,,,
28,Севастополь,красный,#F44336,,,,,
25,Иркутск,красный,#F44336,,,,,
12,Краснодар,красный,#F44336,,,,,
99,Абакан,красный,#F44336,,,,,
96,Орск,красный,#F44336,,,,,
179,Луганск,красный,#F44336,,,,,
54,Симферополь,красный,#F44336,,,,,
141,Ессентуки,красный,#F44336,,,,,